Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579919129,5.71910181,3.009034691,1.438816272,0.8026379244,1.034301979,0.7523451771,1.016164856,1.077749148,0.9678636819,1.123867493,1.149647972,1.00440027,1.133360699,1.227695063,1.463912004,1.4833044,1.732263389,1.90569819,1.521710382,1.471883482,1.685606164,1.961453064,1.896163384,1.895893672,1.85625279,1.767966404,1.88339587,2.013779381,2.196552367,2.404683762,,
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44555331,3.479272087,3.379266614,3.372117751,3.357585878,3.438697038,3.650534399,3.757477042,3.940913851,4.054401864,4.16361335,4.223578036,4.340954725,4.619916747,4.654108765,4.716473225,4.91995797,5.111197815,5.142280573,5.365888282,5.435556334,5.258909938,5.359627712,5.343683967,5.34089381,5.450239602,5.526478512,5.488427222,5.550826185,5.525581597,5.121730122,,
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.43718277,15.31527127,15.35397358,15.48170527,15.7309148,16.11460158,16.47101442,16.70617608,17.60233354,17.73724311,17.8373184,17.93072692,18.12321078,17.89453913,18.36887105,18.27847309,18.29274959,18.45473766,18.23928987,18.15720084,17.97375152,17.65605534,17.40561767,16.7945881,16.15574514,16.19845822,16.32033061,16.14809051,15.86356243,15.59572675,14.7726576,,
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.590106605,8.049526421,7.35494711,7.311748471,7.344674059,7.698069947,8.15463769,8.06021204,8.107660865,7.889457434,7.930858961,8.444656269,8.583836811,9.169316756,9.275870702,9.266405512,8.962101511,8.588766398,8.500238419,7.721228101,8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737,,
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45396644,7.159572566,8.617281108,6.411378556,4.41191067,4.225833946,3.502937009,3.37952987,3.347718944,3.272330964,3.440001988,3.25441365,3.203348038,3.469644527,3.408403058,3.580068757,3.593402125,3.219523848,3.474404911,2.849570533,2.685112496,2.97414762,3.239167347,3.285574369,3.381555622,3.292794814,3.303957895,3.243037648,3.292641249,3.54349533,3.398849573,,
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03420989815,0.04103790143,0.03503343586,0.03791028978,0.03769864285,0.03655957078,0.03765276729,0.0381845492,0.03852309895,0.03783061335,0.04163192715,0.03250986857,0.03280223097,0.0249531909,0.0224141689,0.02178951759,0.02501896662,0.02417991873,0.0240030664,0.0227456281,0.03542390626,0.03799811183,0.03718041762,0.03610002663,0.03475969739,0.03419361791,0.0405380853,0.04742912367,0.05785023011,0.05957133899,0.05838402184,,
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96703557,11.39090004,11.18243237,10.91859517,11.35882853,11.30224288,11.7606251,11.45583865,11.70368582,11.29569403,11.44002926,11.50430124,10.72800799,11.13151691,10.87700891,10.58920275,10.24667523,9.778725166,9.964114755,9.253412196,9.808816157,8.741247718,8.578030369,8.651947187,8.061552368,8.434836506,8.310660392,8.139438591,8.184366679,8.093790746,7.398130658,,
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0643060697,0.05167345986,0.0517811461,0.05034715863,0.04732759631,0.04995773596,0.1569168228,0.1936018422,0.1844875818,0.1974637145,0.2035574905,0.2405837682,0.2929714175,0.3189885952,0.3352184303,0.3558045058,0.4131325058,0.4623393269,0.4510878554,0.481569175,0.5108244907,0.4783485737,0.4438451548,0.4536349288,0.4885705339,0.5035863238,0.598485713,0.5929405053,0.6368144938,0.6082367732,0.631204806,,
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06506149521,0.06402518979,0.06363457833,0.06337350071,0.06201408427,0.06178921563,0.06825022761,0.07596798966,0.07850326348,0.08092822039,0.08827231225,0.08361222306,0.08131793267,0.08460706042,0.08432559419,0.08296911667,0.0978245548,0.1140348012,0.1256488143,0.1233289001,0.1299447876,0.1325330515,0.1573590144,0.1670975178,0.1649436467,0.2031091004,0.2074032017,0.2331736797,0.2524282804,0.2695015889,0.2535331887,,
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1075500013,0.09914389442,0.1062573618,0.1108141222,0.1171427822,0.1405383384,0.1403548514,0.1554491996,0.1548003787,0.1586172373,0.1601220472,0.1946867606,0.2034011882,0.2097371984,0.2199550435,0.2321353968,0.2517218977,0.2635865946,0.2859333182,0.3050301482,0.3402332534,0.3615573972,0.3878292347,0.4087881788,0.4251894568,0.4635170753,0.5077392705,0.5417878259,0.5861576246,0.5597336556,0.5106475593,,
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.442677227,6.814643075,6.482791197,6.600936486,6.362695682,6.528951054,6.612800505,6.375621566,6.113456253,5.398128084,5.314588236,5.766610206,5.563226275,6.164795384,6.124991253,6.265279466,6.440554967,6.971019721,6.678530879,5.763735447,6.049624919,6.754951603,6.162577362,5.45906018,5.821533906,6.207377524,5.834418985,6.20201084,5.821777166,5.613710103,4.923280379,,
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75200322,19.32431852,22.13329847,22.77316973,22.54014301,22.08374801,22.37036077,22.08830862,23.03239928,22.32357076,22.31594424,22.4391139,23.01340061,23.05682192,21.50972283,22.94402725,23.15740473,22.10503858,22.30139696,20.95640945,21.39480655,21.46530295,22.18412509,22.86884161,23.09657136,22.38562499,21.49530987,20.94603778,20.73796173,22.06335481,21.97690781,,
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.442764308,7.55384738,6.924421842,6.333546175,6.291220659,6.423549677,6.213496079,5.466984341,6.597061491,6.642478893,6.508335026,6.172146615,6.193974886,6.251292505,6.105412881,5.622707042,5.406279064,5.400848837,5.460935239,5.457035187,5.302835466,5.775896283,6.266800328,7.274471671,6.473141436,5.62112774,5.153595167,5.438825122,6.95535772,6.482893634,6.042251477,,
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332431452,4.762141673,3.734255905,3.399455894,0.8406147254,0.8983990783,1.071723864,2.098203742,2.614956432,2.53216098,3.339059902,3.281030539,3.467026803,3.554556347,3.758683615,3.962926969,4.413459941,4.712845407,5.264807557,5.309702792,5.468910715,6.341784522,5.976582678,6.039376276,5.46245549,5.569578733,6.422490639,6.59666334,6.651453518,6.285663956,6.312305874,,
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.797486552,9.438623511,8.588935317,7.443014733,6.321099487,5.641431568,5.75355116,5.833544932,5.67931991,5.481134542,5.30757214,5.209240545,5.245821114,5.361564331,5.729965409,5.842828709,6.121245728,5.995939944,6.321556971,6.015761028,6.478781371,6.164447338,6.323630473,6.342249474,6.290067804,5.799689169,5.829463579,5.946407169,6.279579416,6.12342695,5.842407296,,
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.863748638,2.36831097,2.009994798,2.089330868,2.029574228,1.990607007,1.575486085,1.929835066,1.776734384,1.608710411,1.768674659,1.940346634,1.756729834,1.705315949,1.505174036,1.552563531,1.597345608,1.654255265,1.475115402,1.693345344,1.649146554,1.740011774,1.380470481,1.326997168,1.372841188,1.875949993,1.773147152,1.716338442,1.648929766,1.89208291,1.741107715,,
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.466687636,1.500077779,1.511099114,1.359999332,1.243221421,1.101132683,1.042785993,1.128868284,1.053297434,0.9817690423,0.943608123,0.8933026484,0.9369610957,0.9802726573,1.018024736,1.053918213,1.122841706,1.226167606,1.288809285,1.350111632,1.438111289,1.538218699,1.604681761,1.686987922,1.7842194,1.803674183,1.893693651,1.891315429,1.88518817,1.853461506,1.539464696,,
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.313131623,1.340029763,1.333318452,1.358610901,1.382139692,1.475603559,1.5804544,1.669181232,1.698944884,1.734769448,1.783500116,1.792112278,1.760651244,1.701852536,1.778441244,1.775662922,1.777477957,1.847975736,1.939215274,1.799328142,2.026605669,2.11062776,2.271417684,2.413446537,2.51459196,2.365360621,2.161259847,2.185486619,2.064261479,2.050770129,1.942523356,,
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.879660676,3.855136044,3.557676049,3.35960459,3.551919667,3.608803559,3.730959348,4.05935629,4.313045721,4.57546277,4.489206785,4.585175053,4.52721848,4.672540832,4.767881417,4.921013667,4.98326708,5.036029531,5.938342473,5.842777885,5.392940217,5.503909455,5.313671039,5.199176494,4.620188617,4.565435499,4.632243432,4.226450372,4.541381825,4.166143194,3.904871158,,
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44731377,12.54168828,12.92427257,13.79670054,14.60975902,15.38196639,15.76506551,16.68247051,14.11173443,13.5547096,14.12857939,13.81900994,13.29666756,15.57852815,14.15687134,13.61076798,20.17338684,18.86003358,20.57503484,20.17442501,18.10565758,18.26298984,17.95103213,17.5097522,16.99315502,15.18067944,16.35821162,16.9430784,17.36231043,16.11193294,21.70581244,,
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3319771794,0.321995385,0.3756978738,0.3399329542,0.3950044124,0.4663757545,0.5517456939,0.6970093167,0.6774203391,0.6629363036,0.6621855666,0.628794133,0.6647626678,0.5952000151,0.4823297553,0.5961198391,0.5904108368,0.5849498396,0.6127263,0.5687867469,0.6990344656,1.043274441,1.156355518,1.245731517,1.374876588,1.402040163,1.638388767,1.731865667,1.908289769,1.867200723,1.340054317,,
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.092772577,1.980828403,2.321610198,2.222378753,2.048559936,2.066422481,1.842976319,1.893347594,2.223954958,2.281033225,2.335746981,2.193957762,2.243124453,2.14301784,2.13562048,2.260452333,2.118987673,2.196161928,2.188340673,2.043233836,1.611970183,1.819713997,1.569502511,2.445132726,3.091924529,3.014835776,2.818086597,3.054954535,3.288471038,2.879663256,2.263463114,,
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05268364433,0.04899843067,0.05063964727,0.05101733618,0.05041024592,0.04998922699,0.04964962822,0.04828722048,0.06396509317,0.06478158102,0.06469513217,0.06580362482,0.06355186219,0.05736506607,0.05496777994,0.05324515056,0.05456003607,0.05434721747,0.03836826958,0.03684927725,0.0375101903,0.0410395387,0.04131308573,0.02511229736,0.02717383377,0.03826255625,0.04208657232,0.04450901097,0.04496759428,0.04518820484,0.04428207269,,
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14896932,14.74096404,15.02813904,14.71330913,15.06050396,15.29046634,15.59261401,15.94384836,16.07657167,16.25847341,16.75746674,16.33143678,16.72041069,17.20835919,16.79418597,17.0275681,16.59521392,17.38063077,16.55942629,15.50450587,15.79453766,15.99827172,15.73682394,15.84080976,15.85217722,15.64990728,15.42182253,15.54719472,15.63665416,15.05274694,13.59937492,,
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.950861493,8.29458243,7.725796628,7.508530203,7.321380019,7.365826913,7.618700144,7.398845788,6.959339551,6.582621859,6.55222801,6.711431589,6.61650942,6.90483331,6.91328164,6.931863007,7.122723159,7.201061072,7.050764985,6.534136415,6.78421838,6.810707482,6.564899335,6.323538121,6.139709757,6.244133257,6.376605698,6.658387976,6.616508182,6.285364214,5.85720585,,
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.451697925,6.71572761,6.647298965,6.262660766,6.090112736,6.16976724,6.222699859,6.030309895,6.22324807,6.232944582,6.083975363,6.245589468,5.981438218,6.109755265,6.12803762,6.165119136,6.076924249,5.766193267,5.879237808,5.639146825,5.77742182,5.206044994,5.316661125,5.381300293,4.85956841,4.719745349,4.737238602,4.57876628,4.402143727,4.358609865,4.042072815,,
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.288383577,2.15628363,2.201875348,2.319203085,2.521118984,2.703235865,3.071831427,3.463042689,3.468333322,3.586506954,3.284598763,3.119374428,3.129989633,3.165410522,3.431902652,3.460143672,3.498597301,3.91463437,4.080770343,3.888128201,4.101883998,4.452800824,4.521602782,4.740083124,4.328593459,4.603236105,4.783525703,4.743802419,4.629657059,4.827620075,4.395151064,,
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.914546263,2.000543284,2.075740405,2.244842079,2.322189229,2.563478759,2.521871874,2.547903664,2.605835732,2.517420763,2.650409102,2.774762197,2.964821228,3.434036479,3.945154871,4.467696361,4.910276197,5.306368006,5.435079096,5.798319938,6.335419767,6.901347326,7.04520023,7.320154925,7.304712872,7.145131535,7.105479936,7.226160154,7.533193134,7.645435786,7.756137907,,
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2271433537,0.2256802726,0.2159239913,0.2220787405,0.2241368005,0.2353261709,0.2736894726,0.3242551752,0.3146291157,0.4179275848,0.3862813972,0.3765800963,0.3867303683,0.2929712889,0.2947494522,0.3097750869,0.2938374369,0.285492262,0.3198259434,0.2916756659,0.3006906899,0.2837417985,0.3651721943,0.3868572844,0.3999425106,0.4155531478,0.3962026003,0.4251365582,0.3998903585,0.4145283052,0.4063473569,,
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253706743,0.5914727631,0.5645167408,0.4618407014,0.3595104376,0.3541950523,0.3502973483,0.3487796335,0.3521230319,0.3257642558,0.3451656598,0.3328416569,0.3225643682,0.3183255611,0.304746027,0.2903762863,0.2868347971,0.3359382542,0.3404948831,0.3640095378,0.3528718833,0.3326100172,0.3264775908,0.3479338136,0.3687422883,0.3693708233,0.3784935915,0.3720711948,0.3887944477,0.3706917072,0.374782658,,
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08833612722,0.04672425821,0.03867286656,0.04790676015,0.05319499899,0.04876750433,0.05148246745,0.05064387962,0.04958522753,0.04442521072,0.03362924427,0.03124215611,0.03194219605,0.03756368756,0.03538590752,0.03905730067,0.03910134061,0.04101548693,0.04101704933,0.03894182302,0.03997363689,0.0439433708,0.03982232143,0.05390006627,0.06754863262,0.04108221702,0.02973241989,0.03375521499,0.03231123508,0.03371487992,0.03258478085,,
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.341956499,1.302015147,1.240865576,1.037130209,0.76977544,0.9607998223,1.124776548,1.136062945,1.319537268,1.313307205,1.387027565,1.304046801,0.8270997653,0.9416720468,0.9919526098,1.174358582,1.252964934,1.049134185,1.066262683,1.136551232,1.222057629,1.174458184,1.116160226,1.100152732,1.046561268,1.116621047,1.059916434,1.017762417,1.142589443,1.257662142,1.25459167,,
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.514180698,1.535757861,1.567498714,1.636872274,1.629515478,1.669255808,1.617503089,1.738632787,1.714913821,1.449321036,1.504406398,1.495770043,1.418226358,1.381373481,1.359213785,1.37815501,1.36051066,1.378771938,1.376187818,1.414241941,1.431317954,1.539898376,1.533846498,1.680987882,1.715820964,1.719390231,1.753795803,1.565075176,1.610391517,1.577820141,1.552259423,,
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1519302095,0.1553325179,0.1551910638,0.1582066745,0.1581910881,0.161236977,0.1610397177,0.1669197854,0.1786963693,0.1840655114,0.1954325786,0.2004597063,0.1962267931,0.2450318348,0.2636134312,0.2480246607,0.2846237046,0.181229018,0.1812636027,0.2185237816,0.255783325,0.2238568749,0.2338752441,0.2748097279,0.2405501167,0.2545822058,0.2920003431,0.3663032518,0.3899200451,0.4123966796,0.4071121829,,
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5041652609,0.4555686425,0.4788622505,0.4418645612,0.4379380314,0.4902985546,0.5282572499,0.5343036405,0.5635895269,0.6574338285,0.6673198749,0.7693826482,0.8283481006,0.8729631381,0.8549415002,0.9161429873,1.039720657,0.9113729437,0.9321309882,0.9902295797,1.037389776,1.074459595,0.9845204022,0.9297329333,0.9090309774,0.9053436829,0.9722525672,1.034951518,1.041137811,1.069615098,1.065151723,,
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9091101948,0.945109208,1.248818837,1.227736647,1.390165863,1.346205948,1.238131914,1.201763589,1.312417554,1.290296122,1.243166642,1.337873919,1.339729585,1.384444959,1.397573363,1.453675687,1.497657013,1.712267448,1.669354038,1.577536632,1.537237693,1.587802884,1.572163789,1.623425478,1.616811387,1.539842157,1.619528412,1.636715779,1.620121197,1.564824452,1.35999555,,
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.571798922,4.586458222,4.637008917,4.221735446,3.961673105,3.991283063,4.112810709,4.21052969,4.380485669,4.405468227,4.327652659,4.532194484,4.618133943,5.095243278,5.193510061,5.384373391,5.895629909,5.964900457,5.560212677,5.165555753,5.468179557,5.630149068,5.518165055,5.672398823,5.58212129,5.437586735,5.12342222,4.97194958,5.12587038,5.066604688,4.402687901,,
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.352091152,2.559126481,2.018945547,1.858908098,1.994946913,2.120996608,2.298944516,2.495715408,2.457231707,2.529201649,2.553001403,2.465642056,2.365566639,2.288427843,2.259611196,2.340177238,2.378215073,2.45588088,2.371909853,2.391133355,2.489722036,2.441544212,2.536932027,2.549971166,2.354133321,2.575844183,2.396082811,2.31478145,2.354698575,2.157740903,2.152769678,,
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.822701332,6.39375467,6.761463962,6.944185495,7.079095831,6.780934535,7.057830279,7.025185215,7.226729058,7.375590382,7.516791688,7.246976151,7.298456313,7.831359024,7.63612661,7.618445185,7.579223033,7.735644718,7.772590375,7.449409257,6.991677333,6.667272152,6.137878321,5.508034496,5.787450244,5.771090223,6.026642045,6.091071498,5.906151058,5.851879339,5.471998009,,
